geoid,ua_name,-1_perc_penalty,avg_perc_penalty,75_perc_penalty,85_perc_penalty,95_perc_penalty
21820,"Fairbanks, AK",1,1.4780015473932755,1.7732291669999998,1.82125,1.8435416669999998
40340,"Rochester, MN",1,1.3396642076846734,1.6667708330000002,1.7515625,1.836041667
20260,"Duluth, MN-WI",1,1.3882672104452598,1.7423958330000002,1.804583333,1.8377083330000001
24500,"Great Falls, MT",1,1.3173579523031818,1.5546875,1.6620833330000002,1.8377083330000001
41060,"St. Cloud, MN",1,1.3545657333666967,1.7236458330000002,1.7920833330000001,1.836041667
24020,"Glens Falls, NY",1,1.2871111535398063,1.5325,1.6959375,1.811875
24540,"Greeley, CO",1,1.2849097340723616,1.5488541669999998,1.622604167,1.7469791669999999
45460,"Terre Haute, IN",1,1.232015572033642,1.406354167,1.540625,1.7405208330000002
31540,"Madison, WI",1,1.3149190410758853,1.6033333330000001,1.715,1.8283333330000002
11260,"Anchorage, AK",1,1.4400425897298164,1.7180208330000002,1.78375,1.830625
29100,"La Crosse-Onalaska, WI-MN",1,1.313182855520444,1.6015625,1.705208333,1.818125
20740,"Eau Claire, WI",1,1.3396237356912857,1.6713541669999998,1.766666667,1.8364583330000002
22020,"Fargo, ND-MN",1,1.359029654457108,1.705208333,1.79625,1.8433333330000001
47940,"Waterloo-Cedar Falls, IA",1,1.3089639758795344,1.6015625,1.7260416669999998,1.8222916669999998
13900,"Bismarck, ND",1,1.3411602072347373,1.6434375,1.7519791669999998,1.8341666669999999
20220,"Dubuque, IA",1,1.3212073920921985,1.6354166669999999,1.7263541669999998,1.8085416669999999
25500,"Harrisonburg, VA",1,1.2065866929085274,1.3858333330000001,1.5516666669999999,1.7265625
44420,"Staunton, VA",1,1.2065866929085274,1.3858333330000001,1.5516666669999999,1.7265625
43620,"Sioux Falls, SD",1,1.3154887507568125,1.6369791669999998,1.745416667,1.83375
49620,"York-Hanover, PA",1,1.2720403662034976,1.5270833330000002,1.6489583330000002,1.756458333
16300,"Cedar Rapids, IA",1,1.2865201263425483,1.5744791669999998,1.7265625,1.820208333
31900,"Mansfield, OH",1,1.2835155371096454,1.5520833330000001,1.687395833,1.7775
40420,"Rockford, IL",1,1.303485850519134,1.608333333,1.7180208330000002,1.817916667
14010,"Bloomington, IL",1,1.274126259491085,1.5161458330000002,1.6286458330000002,1.7585416669999998
24220,"Grand Forks, ND-MN",1,1.3722002011997367,1.6838541669999998,1.765,1.83375
34060,"Morgantown, WV",1,1.2134510519860795,1.440625,1.5448958330000002,1.7275
43100,"Sheboygan, WI",1,1.3018594240771335,1.5395833330000002,1.6838541669999998,1.7941666669999998
22660,"Fort Collins, CO",1,1.2912007312497191,1.5308333330000001,1.631458333,1.79625
16220,"Casper, WY",1,1.313238332761532,1.5819791669999999,1.6603125,1.784791667
22540,"Fond du Lac, WI",1,1.324979435737106,1.594791667,1.7775,1.828958333
36780,"Oshkosh-Neenah, WI",1,1.324979435737106,1.594791667,1.7775,1.828958333
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,1.3439375597589172,1.671041667,1.7754166669999998,1.830625
48060,"Watertown-Fort Drum, NY",1,1.3084617620295362,1.6015625,1.688125,1.778125
30340,"Lewiston-Auburn, ME",1,1.3207520474284395,1.5651041669999999,1.6642708330000002,1.79
15540,"Burlington-South Burlington, VT",1,1.3129841333157986,1.594791667,1.6923958330000002,1.7892708330000002
19180,"Danville, IL",1,1.2482182988634944,1.4927083330000002,1.6623958330000002,1.765
16580,"Champaign-Urbana, IL",1,1.2482182988634944,1.4927083330000002,1.6623958330000002,1.765
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,1.2527362148311396,1.434375,1.6015625,1.7761458330000002
